Time (EST)	Temp (F)	WindChill	DewPoint	Humidity	Pressure (in)	WindDir	WindSpd(mph)
12:54 AM	21.9	11	6.1	0.51	30.1	10	10.4
1:54 AM	21.9	11	6.1	0.51	30.08	10	10.4
2:54 AM	21.9	10.4	6.1	0.51	30.06	10	11.5
3:54 AM	24.1	12.5	6.1	0.46	30.04	11	12.7
4:54 AM	21.9	8.7	7	0.53	30.03	10	15
5:54 AM	23	9.2	6.1	0.48	30.05	11	17.3
6:54 AM	23	10.6	7	0.50	30.05	11	13.8
7:54 AM	21.9	9.8	7	0.53	30.07	10	12.7
8:54 AM	25	12.2	6.1	0.45	30.09	11	16.1
9:54 AM	28	17	6.1	0.39	30.07	10	13.8
10:54 AM	30	17.9	5	0.35	30.05	10	18.4
11:54 AM	30.9	19.4	6.1	0.35	30.02	11	17.3
12:54 PM	32	21.2	6.1	0.34	29.99	10	16.1
1:54 PM	33.1	23.4	6.1	0.32	29.96	11	13.8
2:54 PM	33.1	22.6	7	0.34	29.93	9	16.1
3:54 PM	30.9	21.2	7	0.37	29.93	9	12.7
4:54 PM	30.9	20.7	8.1	0.38	29.92	10	13.8
5:54 PM	30	18.7	9	0.41	29.93	10	16.1
6:54 PM	30.9	20.2	9	0.40	29.95	11	15
7:54 PM	30	20	9	0.41	29.94	10	12.7
8:54 PM	30	20.5	12	0.47	29.94	10	11.5
9:54 PM	30.9	21.7	12.9	0.47	29.94	10	11.5
10:54 PM	30.9	19.1	15.1	0.52	29.93	10	18.4
11:54 PM	30.9	20.7	16	0.54	29.94	10	13.8
